Title,Release Year,Rating,Genre,Streaming Platform,Runtime,Age Rating,Country,Content Category,URL
Code 8 Part II  (2024),2024,5.7,"Action & Adventure, Crime, Science-Fiction, Mystery & Thriller, Drama",Netflix,1h 41min,NaN,"Canada, United States",Movie,https://www.justwatch.com/in/movie/code-8-part-ii
Barbie  (2023),2023,6.9,"Action & Adventure, Comedy, Fantasy","Apple TV, Jio Cinema, Amazon Video, Apple TV, Google Play Movies, YouTube, Apple TV, Google Play Movies, YouTube",1h 54min,UA,"United Kingdom, United States",Movie,https://www.justwatch.com/in/movie/barbie-2023
Malaikottai Vaaliban  (2024),2024,6.4,"Drama, Fantasy, Mystery & Thriller, Western, Action & Adventure",,2h 34min,UA,India,Movie,https://www.justwatch.com/in/movie/malaikottai-vaaliban
Past Lives  (2023),2023,7.9,"Drama, Romance","Lionsgate Play, Lionsgate Play Apple TV Channel, Lionsgate Play Amazon Channel",1h 46min,UA,"United States, South Korea",Movie,https://www.justwatch.com/in/movie/past-lives
Godzilla Minus One  (2023),2023,8.3,"Horror, Action & Adventure, Science-Fiction, Drama",,2h 5min,NaN,Japan,Movie,https://www.justwatch.com/in/movie/godzilla-minus-one
The Holdovers  (2023),2023,8.0,"Comedy, Drama",Bookmyshow,2h 13min,NaN,United States,Movie,https://www.justwatch.com/in/movie/the-holdovers
Blue Star  (2024),2024,7.0,"Comedy, Drama, Sport","Amazon Prime Video, Amazon Video",2h 46min,NaN,India,Movie,https://www.justwatch.com/in/movie/blue-star
Kung Fu Panda  (2008),2008,7.6,"Action & Adventure, Animation, Kids & Family, Comedy, Fantasy","Apple TV, Apple TV, Google Play Movies, YouTube, Hungama Play, Apple TV, Google Play Movies, YouTube",1h 30min,U,United States,Movie,https://www.justwatch.com/in/movie/kung-fu-panda
Upgraded  (2024),2024,6.1,"Romance, Comedy",Amazon Prime Video,1h 45min,NaN,"United Kingdom, United States",Movie,https://www.justwatch.com/in/movie/upgraded
Killers of the Flower Moon  (2023),2023,7.6,"Crime, Drama, Romance, Western, History","Apple TV Plus, Apple TV, Apple TV Plus, Bookmyshow, Apple TV",3h 28min,A,United States,Movie,https://www.justwatch.com/in/movie/killers-of-the-flower-moon
Neru  (2023),2023,7.6,"Drama, Mystery & Thriller",Hotstar,2h 30min,UA,India,Movie,https://www.justwatch.com/in/movie/neru
Shaitaan  (2024),2024,7.7,"Mystery & Thriller, Horror",,2h 10min,UA,India,Movie,https://www.justwatch.com/in/movie/black-magic-2024
Migration  (2023),2023,6.7,"Kids & Family, Animation, Action & Adventure, Comedy","Apple TV, Bookmyshow, Amazon Video, Apple TV, Apple TV, Google Play Movies, YouTube",1h 23min,U,"United States, Canada, France",Movie,https://www.justwatch.com/in/movie/migration
Hacksaw Ridge  (2016),2016,8.1,"War & Military, Drama, History","Amazon Prime Video, Lionsgate Play",2h 19min,A,"United States, Australia, China, United Kingdom",Movie,https://www.justwatch.com/in/movie/hacksaw-ridge
Naadu  (2023),2023,7.1,Drama,"Amazon Prime Video, aha",2h 8min,NaN,India,Movie,https://www.justwatch.com/in/movie/naadu
The Wolf of Wall Street  (2013),2013,8.2,"Comedy, Crime, Drama","Lionsgate Play, Lionsgate Play Apple TV Channel, Lionsgate Play Amazon Channel, Google Play Movies, YouTube, Google Play Movies, YouTube",3h 0min,A,United States,Movie,https://www.justwatch.com/in/movie/the-wolf-of-wall-street
Napoleon  (2023),2023,6.4,"Drama, History, War & Military, Action & Adventure","Apple TV Plus, Apple TV, Apple TV Plus, Apple TV, Google Play Movies, YouTube",2h 38min,A,"United Kingdom, United States",Movie,https://www.justwatch.com/in/movie/napoleon-2023
Route No 17  (2023),2023,7.0,"Drama, Mystery & Thriller",Amazon Prime Video,1h 52min,NaN,India,Movie,https://www.justwatch.com/in/movie/route-no-17
K.G.F: Chapter 1  (2018),2018,8.2,"Action & Adventure, Crime, Mystery & Thriller, Drama",,2h 36min,UA,India,Movie,https://www.justwatch.com/in/movie/k-g-f-chapter-1
The Gentlemen  (2020),2020,7.8,"Action & Adventure, Crime, Comedy","Lionsgate Play, Lionsgate Play Apple TV Channel, Lionsgate Play Amazon Channel, Amazon Video",1h 53min,A,"United States, United Kingdom",Movie,https://www.justwatch.com/in/movie/the-gentlemen
